sample_id,subject,predicate,predicate_code,correct_answer,culture,country,prediction,extracted_answer,exact_match,overlap
P103_general_ARAB_REGION_19,Hassan II,Native language,P103,['Arabic'],Arab,Kuwait,"The native language of Hassan II, the former King of Morocco, is Moroccan Arabic (also known as Darija). 

Moroccan Arabic is the primary language spoken in Morocco and is widely used in daily life, media, and government. It is","The native language of Hassan II, the former King of Morocco, is Moroccan Arabic (also known as Darija)",0.0,1.0
P103_general_ARAB_REGION_20,Osama bin Laden,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Osama bin Laden was born in Riyadh, Saudi Arabia, and grew up in a wealthy family with strong ties to the Saudi royal family. Given his background and the cultural context of Saudi Arabia, it is highly likely that his native language was",Arabic,1.0,1.0
P103_general_ARAB_REGION_21,Abdesslam Yassine,Native language,P103,"['Arabic', 'Moroccan Arabic']",Arab,Kuwait,"Moroccan Arabic

Abdesslam Yassine, a prominent Moroccan Islamist and political figure, primarily speaks Moroccan Arabic as his native language. Moroccan Arabic, also known as Darija, is the colloquial form of the Moroccan dialect of Arabic",Moroccan Arabic,1.0,1.0
P103_general_ARAB_REGION_22,Saad Lamjarred,Native language,P103,['Arabic'],Arab,Kuwait,"Arabic

Step 1: Identify the subject
The subject of the question is Saad Lamjarred, a person.

Step 2: Determine the information needed
The question asks about the native language of Saad Lamjarred.

Step",Arabic,1.0,1.0
P103_general_ARAB_REGION_23,Najat Vallaud-Belkacem,Native language,P103,"['Berber', 'حمار']",Arab,Kuwait,"French

Najat Vallaud-Belkacem is a French politician who served as the Minister of Education from 2016 to 2017. Given that she is a French politician, it is reasonable to conclude that",French,0.0,0.0
P103_general_ARAB_REGION_24,Saud bin Faisal bin Abdulaziz Al Saud,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Saud bin Faisal bin Abdulaziz Al Saud, also known as Faisal II, was the King of Saudi Arabia from 1964 to 1975. Arabic is the official language of Saudi Arabia and is",Arabic,1.0,1.0
P103_general_ARAB_REGION_25,Queen Rania of Jordan,Native language,P103,['Arabic'],Arab,Unknown Country,"The native language of Queen Rania of Jordan is Arabic.

Queen Rania Al Abdullah, born Rania Al Abdullah Al Tal, is the former Queen of Jordan and the former First Lady of Jordan. She was born in Amman, Jordan, and",The native language of Queen Rania of Jordan is Arabic,0.0,1.0
P103_general_ARAB_REGION_26,Ibrahim El-Desouki,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Ibrahim El-Desouki is a renowned Egyptian actor, director, and producer. Arabic is the primary language spoken in Egypt, and it is also the native language of Ibrahim El-Desouki. 

To provide more context,",Arabic,1.0,1.0
P103_general_ARAB_REGION_27,Yasser Arafat,Native language,P103,['Arabic'],Arab,Unknown Country,"The native language of Yasser Arafat was Arabic. 

Yasser Arafat, the Palestinian leader who served as the Chairman of the Palestine Liberation Organization (PLO) and the President of the Palestinian National Authority, was born in Cairo,",The native language of Yasser Arafat was Arabic,0.0,1.0
P103_general_ARAB_REGION_28,Adunis,Native language,P103,['Arabic'],Arab,Unknown Country,"Arabic

Abdul Rahman Munif, a Saudi novelist, was born in 1931 in the city of Al-Hufuf, in the Eastern Province of Saudi Arabia. He is known for his works of Arabic literature, particularly his",Arabic,1.0,1.0
P103_general_ARAB_REGION_29,Sayyid Qutb,Native language,P103,['Arabic'],Arab,Egypt,"Arabic

Sayyid Qutb was an Egyptian Islamic scholar, writer, and activist who was born in 1906 in Mokattam, Cairo, Egypt. Arabic is the primary language spoken in Egypt, and it is also",Arabic,1.0,1.0
P103_general_ARAB_REGION_30,Abu Musab al-Zarqawi,Native language,P103,['Arabic'],Arab,Jordan,"Arabic

Abu Musab al-Zarqawi was a Jordanian-born militant who became the leader of the Jama'at al-Tawhid al-Islamiyya, which later evolved into al-Qaeda in Iraq. Arabic is the primary language",Arabic,1.0,1.0
P103_general_ARAB_REGION_31,Youssef Wahbi,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Youssef Wahbi is a well-known Tunisian footballer who primarily speaks Arabic as his native language. Arabic is the official language of Tunisia, where Wahbi was born and raised. Additionally, Arabic is widely spoken in the Arab world",Arabic,1.0,1.0
P103_general_ARAB_REGION_32,Majed Abdullah,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Majed Abdullah is a Saudi royal and the Crown Prince of Saudi Arabia. Arabic is the official language of Saudi Arabia and is widely spoken and used in the country. Therefore, it is reasonable to conclude that Majed Abdullah's native language",Arabic,1.0,1.0
P103_general_ARAB_REGION_33,Abu Bakr al-Baghdadi,Native language,P103,['Arabic'],Arab,Unknown Country,"Arabic

Abu Bakr al-Baghdadi, the former leader of the Islamic State (ISIS), was born in Baghdad, Iraq. Arabic is the primary language spoken in Iraq and is widely used throughout the Middle East. Therefore, it is",Arabic,1.0,1.0
P103_general_ARAB_REGION_34,Khalifa bin Zayed Al Nahyan,Native language,P103,['Arabic'],Arab,Tunisia,"The native language of Khalifa bin Zayed Al Nahyan is Arabic.

Khalifa bin Zayed Al Nahyan is the current President of the United Arab Emirates (UAE). Arabic is the official language of the UAE and is widely spoken and",The native language of Khalifa bin Zayed Al Nahyan is Arabic,0.0,1.0
P103_general_ARAB_REGION_35,Mohamed Morsi,Native language,P103,['Arabic'],Arab,Egypt,"Arabic

Mohamed Morsi, who served as the President of Egypt from 2012 to 2013, is known to be a native Arabic speaker. Arabic is the primary language spoken in Egypt and is widely used in the",Arabic,1.0,1.0
P103_general_ARAB_REGION_36,Farida of Egypt,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Farida of Egypt is a well-known Egyptian singer and actress, and the primary language spoken in Egypt is Arabic. Therefore, it is safe to assume that her native language is Arabic. 

To provide more context, Arabic is the official language",Arabic,1.0,1.0
P103_general_ARAB_REGION_37,Michel Aoun,Native language,P103,['Arabic'],Arab,Unknown Country,"The native language of Michel Aoun is Arabic.

Michel Aoun is a Lebanese politician and academic who has been the President of Lebanon since 2016. Arabic is the primary language spoken in Lebanon, and it is also the language of",The native language of Michel Aoun is Arabic,0.0,1.0
P103_general_ARAB_REGION_38,Yusuf al-Qaradawi,Native language,P103,['Arabic'],Arab,Egypt,"Arabic

Yusuf al-Qaradawi is a prominent Islamic scholar and writer who is known for his contributions to Islamic law and theology. He is fluent in Arabic, which is the primary language of the Quran and the language in which he writes",Arabic,1.0,1.0
P103_general_ARAB_REGION_39,Dalida,Native language,P103,['Italian'],Arab,Egypt,"The native language of Dalida is Arabic.

Dalida, born as Dalila El Mahroug, was an Egyptian singer and actress. Arabic is the primary language spoken in Egypt, and it is also the language of her birth and upbringing. Therefore",The native language of Dalida is Arabic,0.0,0.0
P103_general_ARAB_REGION_40,Omar Sharaf,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Omar Sharaf is a well-known Egyptian actor, director, and producer. Arabic is the primary language spoken in Egypt, and it is also the native language of many Egyptians, including Omar Sharaf. 

To provide more context, Arabic",Arabic,1.0,1.0
P103_general_ARAB_REGION_41,Mika,Native language,P103,['English'],Arab,Unknown Country,"To determine the native language of Mika, we would need more specific information about Mika. Without additional context, it's impossible to know Mika's native language. 

If you have any specific details about Mika, such as their country of","To determine the native language of Mika, we would need more specific information about Mika. Without additional context, it's impossible to know Mika's native language",0.0,0.0
P103_general_ARAB_REGION_42,Hosni Mubarak,Native language,P103,['Arabic'],Arab,Egypt,"Arabic

Hosni Mubarak, the former president of Egypt, was fluent in Arabic. As the official language of Egypt, Arabic was the primary language he would have spoken and used in his daily life, governance, and public appearances.",Arabic,1.0,1.0
P103_general_ARAB_REGION_43,Ayman al-Zawahiri,Native language,P103,['Arabic'],Arab,Egypt,"Arabic

Ayman al-Zawahiri is a prominent Egyptian militant and former leader of Al-Qaeda. The primary language spoken in Egypt is Arabic, and it is also the language he would most likely speak and use in his native country. Therefore, the",Arabic,1.0,1.0
P103_general_ARAB_REGION_44,Younès Belhanda,Native language,P103,['Berber'],Arab,Kuwait,"To determine the native language of Younès Belhanda, we would need to research his background and linguistic heritage. However, without specific information about him, we can't provide a definitive answer. 

If Younès Belhanda is a","To determine the native language of Younès Belhanda, we would need to research his background and linguistic heritage. However, without specific information about him, we can't provide a definitive answer",0.0,0.0
P103_general_ARAB_REGION_45,Mohamed Atta,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Mohamed Atta, we need to consider his background and the context in which he lived. Mohamed Atta was an Egyptian citizen who was involved in the September 11, 2001 terrorist attacks in the","To determine the native language of Mohamed Atta, we need to consider his background and the context in which he lived. Mohamed Atta was an Egyptian citizen who was involved in the September 11, 2001 terrorist attacks in the",0.0,0.0
P103_general_ARAB_REGION_46,Omar al-Bashir,Native language,P103,['Arabic'],Arab,Unknown Country,"The native language of Omar al-Bashir is Arabic. 

Omar al-Bashir, who served as the President of Sudan from 1989 to 2019, primarily spoke and used Arabic as his native language.",The native language of Omar al-Bashir is Arabic,0.0,1.0
P103_general_ARAB_REGION_47,Al-Rashid of Morocco,Native language,P103,['Arabic'],Arab,Kuwait,"The native language of Al-Rashid of Morocco is Arabic.

Al-Rashid, also known as Abu al-Abbas al-Mahdi, was a ruler of Morocco during the 10th century. Arabic was the primary language of",The native language of Al-Rashid of Morocco is Arabic,0.0,1.0
P103_general_ARAB_REGION_48,Mohamed Naguib,Native language,P103,['Arabic'],Arab,Egypt,"Arabic

Mohamed Naguib was a prominent Egyptian political leader and the first President of Egypt. The primary language spoken in Egypt is Arabic, and it is the official language of the country. Therefore, it is reasonable to conclude that Mohamed Naguib's",Arabic,1.0,1.0
P103_general_ARAB_REGION_49,Raif Badawi,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Raif Badawi is a Saudi Arabian journalist and human rights activist. As a citizen of Saudi Arabia, his native language is Arabic. 

To provide more context:
- Raif Badawi was born in Riyadh, Saudi Arabia.
- He",Arabic,1.0,1.0
P103_general_ARAB_REGION_50,Talaat Harb,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Talaat Harb was a prominent figure in the Ottoman Empire and later in the Young Turk movement. He was known to be fluent in Arabic, which was the native language of the region he was from and the language he would have used",Arabic,1.0,1.0
P103_general_ARAB_REGION_51,Mawlay Ismaʿil,Native language,P103,['Arabic'],Arab,Kuwait,"The native language of Mawlay Ismaʿil, also known as Ismail I, was Arabic. 

Mawlay Ismaʿil was the founder and first Sultan of the Saadian Dynasty in Morocco. He was born in 1","The native language of Mawlay Ismaʿil, also known as Ismail I, was Arabic",0.0,1.0
P103_general_ARAB_REGION_52,Gérard Depardieu,Native language,P103,['French'],Arab,Tunisia,"French

Gérard Depardieu is a French actor, director, and producer. His native language is French, as he was born and raised in France, and French is the primary language spoken in his country. While he may have spoken other",French,1.0,1.0
P103_general_ARAB_REGION_53,Shireen Abu Akleh,Native language,P103,['Arabic'],Arab,Unknown Country,"Arabic

Shireen Abu Akleh is a Palestinian journalist who primarily speaks Arabic. She was known for her work as a correspondent for Al Jazeera, a news channel based in Qatar. Given her background and profession, it is reasonable to assume that her",Arabic,1.0,1.0
P103_general_ARAB_REGION_54,Ahmad Al Shugairi,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Ahmad Al Shugairi is a well-known figure in the Arab world, and Arabic is the primary language spoken in the region where he is from. While specific details about his exact birthplace and native language might vary, it is",Arabic,1.0,1.0
P103_general_ARAB_REGION_55,Salah Zulfikar,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Salah Zulfikar, we would need specific information about him. Without any context or details about Salah Zulfikar, it's impossible to provide an accurate answer. 

If Salah Zulfikar is a","To determine the native language of Salah Zulfikar, we would need specific information about him. Without any context or details about Salah Zulfikar, it's impossible to provide an accurate answer",0.0,0.0
P103_general_ARAB_REGION_56,Gisèle Halimi,Native language,P103,['French'],Arab,Unknown Country,"French

Gisèle Halimi is a French writer, journalist, and political activist. Her native language is French, as she was born and raised in France, and her work is primarily in French. While she may have knowledge of other languages,",French,1.0,1.0
P103_general_ARAB_REGION_57,Fahd bin Abdulaziz Al Saud,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Fahd bin Abdulaziz Al Saud, the former King of Saudi Arabia, was fluent in Arabic. As the ruler of Saudi Arabia, it was his native language and the primary language used in official and public contexts. 

To provide",Arabic,1.0,1.0
P103_general_ARAB_REGION_58,Ahmad ibn Tulun,Native language,P103,['Turkic'],Arab,Egypt,"Arabic

Ahmad ibn Tulun was a prominent Islamic ruler who lived in the 9th century. During that time, the primary language used in the Islamic world was Arabic. Therefore, it is reasonable to conclude that the native language of Ahmad",Arabic,0.0,0.0
P103_general_ARAB_REGION_59,Mido,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"The answer is not provided in the question. The question asks ""The native language of Mido is?"" but does not specify which Mido is being referred to. There could be multiple Midos with different native languages. To accurately answer this question,","The answer is not provided in the question. The question asks ""The native language of Mido is?"" but does not specify which Mido is being referred to. There could be multiple Midos with different native languages. To accurately answer this question,",0.0,0.0
P103_general_ARAB_REGION_60,Mostapha El Kabir,Native language,P103,['Berber'],Arab,Kuwait,"Moroccan Arabic

Mostapha El Kabir is a Moroccan singer, songwriter, and actor. Moroccan Arabic, also known as Darija, is the native language spoken in Morocco. Therefore, the answer to the question ""The native language of Most",Moroccan Arabic,0.0,0.0
P103_general_ARAB_REGION_61,Yassine Bounou,Native language,P103,"['Arabic', 'Moroccan Arabic']",Arab,Kuwait,"To determine the native language of Yassine Bounou, we need to look for reliable sources that provide information about his background and origins. 

1. **Research Yassine Bounou's Background**: Yassine Bounou is","To determine the native language of Yassine Bounou, we need to look for reliable sources that provide information about his background and origins",0.0,0.0
P103_general_ARAB_REGION_62,Warda Al-Jazairia,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Unknown Country,"Arabic

Warda Al-Jazairia is a well-known Egyptian singer and actress, and her native language is Arabic. Arabic is the primary language spoken in Egypt and is also widely used in other Arab countries. 

To provide more context:
-",Arabic,1.0,1.0
P103_general_ARAB_REGION_63,Abu Zubaydah,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Abu Zubaydah is a well-known terrorist and is known to speak Arabic as his native language. He was captured by the United States in Pakistan in 2002 and was held in various detention facilities, including Guantanamo Bay",Arabic,1.0,1.0
P103_general_ARAB_REGION_64,Djamel Belmadi,Native language,P103,['French'],Arab,Unknown Country,"The native language of Djamel Belmadi is Arabic.

Djamel Belmadi is a former Algerian football coach and former player. Arabic is the official language of Algeria, where Belmadi was born and spent his formative years.",The native language of Djamel Belmadi is Arabic,0.0,0.0
P103_general_ARAB_REGION_65,Khalifa Belqasim Haftar,Native language,P103,['Arabic'],Arab,Comoros,"Arabic

Explanation: Khalifa Belqasim Haftar is a Libyan political and military leader. The primary language spoken in Libya is Arabic, and it is the language used in official contexts, education, and daily life. Therefore, it is reasonable",Arabic,1.0,1.0
P103_general_ARAB_REGION_66,La Fouine,Native language,P103,['Berber'],Arab,Kuwait,"French

Step 1: Identify the subject
The subject of the question is La Fouine, a French rapper.

Step 2: Determine the key information
The question asks about the native language of La Fouine.

Step 3: Research",French,0.0,0.0
P103_general_ARAB_REGION_67,Bandar bin Sultan,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Bandar bin Sultan is a member of the Al-Sabah family, who are primarily Arabic-speaking. The Al-Sabah family has ruled Kuwait since the 18th century and their official language is Arabic. Therefore, it is",Arabic,1.0,1.0
P103_general_ARAB_REGION_68,Hayla Ghazal,Native language,P103,['Arabic'],Arab,South Sudan,"Arabic

Hayla Ghazal is a person, and the information provided does not specify her native language. However, based on the name ""Hayla Ghazal,"" it is common for individuals of Arab descent to speak Arabic as their native language",Arabic,1.0,1.0
P103_general_ARAB_REGION_69,Noussair Mazraoui,Native language,P103,['Berber'],Arab,Kuwait,"Moroccan Arabic

Noussair Mazraoui is a Moroccan footballer, and his native language is Moroccan Arabic, also known as Darija. Moroccan Arabic is the colloquial form of the Arabic language spoken in Morocco. It is an",Moroccan Arabic,0.0,0.0
P103_general_ARAB_REGION_70,Hala Shukrallah,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

The answer is correct. Hala Shukrallah is a Palestinian actress, comedian, and writer. Arabic is the primary language spoken in the region where she is from and works. Therefore, her native language is Arabic. 

To provide",Arabic,1.0,1.0
P103_general_ARAB_REGION_71,Hassan Nasrallah,Native language,P103,['Arabic'],Arab,Unknown Country,"Arabic

Hassan Nasrallah is a prominent Lebanese politician and the Secretary-General of the Party of God, which is the political arm of the Lebanese Hezbollah movement. As a native Lebanese, his primary language would be Arabic, as it is the",Arabic,1.0,1.0
P103_general_ARAB_REGION_72,Haitham bin Tarik Al Said,Native language,P103,"['Arabic', 'Omani Arabic']",Arab,Morocco,"Arabic

The native language of Haitham bin Tarik Al Said is Arabic. This is because Arabic is the primary language spoken in the region where the Al Said family, including Haitham bin Tarik Al Said, is from. The Al",Arabic,1.0,1.0
P103_general_ARAB_REGION_73,Amr Diab,Native language,P103,['Arabic'],Arab,Egypt,"Arabic

Amr Diab is a Lebanese singer and actor who is known for his work in Arabic music. Arabic is the primary language spoken in Lebanon and is also widely used in many other countries in the Middle East and North Africa. Given this information",Arabic,1.0,1.0
P103_general_ARAB_REGION_74,Alwaleed Bin Talal Bin Abdulaziz Al Saud,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Alwaleed Bin Talal Bin Abdulaziz Al Saud, being a member of the Saudi royal family, is very likely to speak Arabic as his native language. Arabic is the official language of Saudi Arabia and is widely spoken throughout the",Arabic,1.0,1.0
P103_general_ARAB_REGION_75,Walid Regragui,Native language,P103,['French'],Arab,Kuwait,"Moroccan

Walid Regragui is a Moroccan football manager and former player. His native language is Moroccan Arabic, which is also known as Darija. However, it's important to note that he is fluent in several languages, including French and",Moroccan,0.0,0.0
P103_general_ARAB_REGION_76,Yezid Sayigh,Native language,P103,['Arabic'],Arab,Unknown Country,"Arabic

Yezid Sayigh is a Syrian political scientist and author who primarily writes and speaks in Arabic. His work often focuses on the Middle East and Syria, and he is known for his contributions to the field of political science in the region.",Arabic,1.0,1.0
P103_general_ARAB_REGION_77,Ahmed El Sakka,Native language,P103,['Arabic'],Arab,Egypt,"Arabic

Ahmed El Sakka is a well-known Egyptian singer and actor, and the primary language spoken in Egypt is Arabic. Therefore, it can be concluded that the native language of Ahmed El Sakka is Arabic. 

To provide more context,",Arabic,1.0,1.0
P103_general_ARAB_REGION_78,Mohammed Towfiq Bellow,Native language,P103,['Arabic'],Arab,Syria,"Arabic

Mohammed Towfiq Bellow was a Palestinian poet, writer, and translator who was born in Jerusalem, Palestine (now in Israel) in 1922. Given that he was born in Palestine, his native language would have",Arabic,1.0,1.0
P103_general_ARAB_REGION_79,Sofyan Amrabat,Native language,P103,['Berber'],Arab,Kuwait,"Moroccan Arabic

Sofyan Amrabat is a Moroccan singer and songwriter, and his native language is Moroccan Arabic, also known as Darija. Moroccan Arabic is the primary language spoken in Morocco and is a distinct dialect of the broader Arabic language",Moroccan Arabic,0.0,0.0
P103_general_ARAB_REGION_80,Anwar Jindī,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"To determine the native language of Anwar Jindī, we would need specific information about him. Unfortunately, without any context or additional details about Anwar Jindī, it's impossible to provide a definitive answer. 

If Anwar Jind","To determine the native language of Anwar Jindī, we would need specific information about him. Unfortunately, without any context or additional details about Anwar Jindī, it's impossible to provide a definitive answer",0.0,0.0
P103_general_ARAB_REGION_81,Black Adam,Native language,P103,['Egyptian'],Arab,Egypt,"The native language of Black Adam is Arabic. 

Black Adam, a fictional character, is often depicted as speaking Arabic, which is his native language. This is a common trait in many comic book characters, especially those with Middle Eastern or North African backgrounds",The native language of Black Adam is Arabic,0.0,0.0
P103_general_ARAB_REGION_82,French Montana,Native language,P103,"['Arabic', 'Berber']",Arab,Kuwait,"French Montana was born in Haiti and his native language is Haitian Creole. Haitian Creole is a creole language that evolved from a fusion of French and African languages, reflecting his mixed cultural heritage. 

To provide more context:
- French","French Montana was born in Haiti and his native language is Haitian Creole. Haitian Creole is a creole language that evolved from a fusion of French and African languages, reflecting his mixed cultural heritage",0.0,0.0
P103_general_ARAB_REGION_83,Mahmoud Abbas,Native language,P103,['Arabic'],Arab,Unknown Country,"Arabic

Mahmoud Abbas, who served as the President of the State of Palestine from 2005 to 2021, primarily speaks Arabic. Arabic is the official language of Palestine and is widely spoken in the region.",Arabic,1.0,1.0
P103_general_ARAB_REGION_84,Badr Hari,Native language,P103,"['Arabic', 'Moroccan Arabic', 'Dutch']",Arab,Kuwait,"To determine the native language of Badr Hari, we would need more specific information about Badr Hari. Without additional context or details about Badr Hari's background, nationality, or linguistic background, it is impossible to accurately state the native language.","To determine the native language of Badr Hari, we would need more specific information about Badr Hari. Without additional context or details about Badr Hari's background, nationality, or linguistic background, it is impossible to accurately state the native language",0.0,0.0
P103_general_ARAB_REGION_85,Death of Khaled Mohamed Saeed,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

The native language of Khaled Mohamed Saeed, the subject of the death, is Arabic. This is because Arabic is the primary language spoken in the region where he was from and lived. However, it's important to note that the",Arabic,1.0,1.0
P103_general_ARAB_REGION_86,Ahmed Tantawi,Native language,P103,"['Arabic', 'Egyptian Arabic']",Arab,Egypt,"Arabic

Ahmed Tantawi was a prominent Egyptian politician and a member of the Supreme Council of the Armed Forces. In Egypt, Arabic is the official language and the primary language of communication and administration. Therefore, it is reasonable to conclude that Ahmed",Arabic,1.0,1.0
